iter	RMSE
0	2.258885069
1	2.240016988
2	2.221082717
3	2.208333754
4	2.192802235
5	2.181234625
6	2.170067661
7	2.160508471
8	2.150135754
9	2.142230926
10	2.13631403
11	2.128768267
12	2.122108112
13	2.116178791
14	2.111277893
15	2.105628822
16	2.100940962
17	2.096667913
18	2.091749606
19	2.088348079
20	2.085222066
21	2.080957259
22	2.077494266
23	2.074885366
24	2.071468354
25	2.06638305
26	2.061166004
27	2.058240841
28	2.055515987
29	2.053473318
30	2.051771517
31	2.049902834
32	2.047382423
33	2.045069648
34	2.042483667
35	2.040854098
36	2.036915105
37	2.034926996
38	2.032143393
39	2.03000285
40	2.028353319
41	2.027126004
42	2.023598026
43	2.022013486
44	2.020661136
45	2.018553546
46	2.017107634
47	2.013687738
48	2.013054288
49	2.01176994
50	2.010061045
51	2.008519492
52	2.00637098
53	2.004384936
54	2.003189763
55	2.002342052
56	2.000563568
57	1.999736937
58	1.998362434
59	1.997278115
60	1.996245868
61	1.995323718
62	1.994443652
63	1.992699941
64	1.991727067
65	1.991202222
66	1.99116032
67	1.990261565
68	1.989284253
69	1.988524296
70	1.987323555
71	1.985465988
72	1.984372388
73	1.983551786
74	1.982818208
75	1.981245157
76	1.980028113
77	1.97729761
78	1.976453861
79	1.975093416
80	1.974096105
81	1.973213499
82	1.972464726
83	1.971550681
84	1.970617274
85	1.969982725
86	1.969161314
87	1.968232486
88	1.96738173
89	1.966503175
90	1.965548963
91	1.965071877
92	1.964067627
93	1.963378624
94	1.962579132
95	1.961632108
96	1.960905094
97	1.960179763
98	1.959575157
99	1.957037345
100	1.956498749
101	1.955732976
102	1.954932684
103	1.953553182
104	1.953046881
105	1.952236553
106	1.95175333
107	1.951326223
108	1.950589608
109	1.950005156
110	1.949392067
111	1.947691468
112	1.945869925
113	1.945435639
114	1.944546552
115	1.943982247
116	1.943754949
117	1.942507426
118	1.942119778
119	1.941229041
120	1.940599361
121	1.94012414
122	1.939718399
123	1.938963371
124	1.938261288
125	1.937584828
126	1.937206922
127	1.936779608
128	1.93641856
129	1.936000026
130	1.935155741
131	1.934885714
132	1.933539227
133	1.932031827
134	1.930106386
135	1.928165594
136	1.927479338
137	1.926918785
138	1.926541791
139	1.926085728
140	1.92374697
141	1.922172961
142	1.921702035
143	1.921328493
144	1.921046473
145	1.920398779
146	1.92005145
147	1.919786098
148	1.918347369
149	1.917809599
150	1.915615289
151	1.914187571
152	1.913333132
153	1.912850775
154	1.911860479
155	1.911291455
156	1.909526761
157	1.909194137
158	1.908794433
159	1.908494503
160	1.907591666
161	1.907028519
162	1.906491991
163	1.906017223
164	1.9054997
165	1.903741191
166	1.903303535
167	1.901566543
168	1.90105453
169	1.90058382
170	1.900128313
171	1.897653032
172	1.897213464
173	1.896806599
174	1.896327221
175	1.895924457
176	1.895513018
177	1.895116908
178	1.894742801
179	1.894396194
180	1.893935604
181	1.893641648
182	1.893296341
183	1.892909449
184	1.892603619
185	1.892309774
186	1.891870371
187	1.891549203
188	1.89116234
189	1.888989955
190	1.888715354
191	1.888446223
192	1.888090895
193	1.887810792
194	1.88754056
195	1.88700274
196	1.88675125
197	1.886539975
198	1.886298125
199	1.885322961
200	1.884524016
201	1.883772671
202	1.883065482
203	1.882835264
204	1.882614224
205	1.881822279
206	1.881592253
207	1.880516288
208	1.880102803
209	1.879669418
210	1.879478126
211	1.879218733
212	1.878385176
213	1.876517188
214	1.876209229
215	1.875831798
216	1.875668314
217	1.874655366
218	1.874497747
219	1.874345944
220	1.872917022
221	1.872606722
222	1.870209467
223	1.869486093
224	1.867542779
225	1.86567612
226	1.865287785
227	1.865073343
228	1.864748607
229	1.864610599
230	1.864291629
231	1.863625328
232	1.863018863
233	1.862499906
234	1.862264205
235	1.862036978
236	1.861648521
237	1.861120042
238	1.860386996
239	1.85992146
240	1.858611708
241	1.858511663
242	1.856708955
243	1.85622836
244	1.855923281
245	1.855703769
246	1.855218129
